位置,公司名,公司行业,学历要求,经验要求,薪资,技能要求,职位
杭州·余杭区·仓前,盒马鲜生,生活服务（O2O）,本科,3-5年,30-45K,Java,后端开发专家
武汉·洪山区·珞狮南路,北大软件,互联网,本科,3-5年,7-12K,Java,后端Java工程师
深圳·南山区·科技园,深圳市诺科斯,计算机软件,大专,3-5年,15-30K·13薪,微服务架构|Redis|SQL|SpringBoot|MySQL|后端开发|中级软件工程师,Java后端开发
杭州·西湖区·三墩,栈道网络,互联网,大专,1-3年,7-12K·13薪,分布式技术|微服务架构|Spring|Memcached|后端开发|GIT|Maven|Jenkins,java后端开发
杭州·萧山区·钱江世纪城,逸清网络,电子商务,本科,1-3年,12-20K,后端工程师|Java|Java开发经验|团队管理经验|接受居家办公|宝可梦，游戏，链游,游戏后端开发
广州·白云区·京溪,中平智能,计算机服务,本科,3-5年,12-20K·14薪,Socket技术|分布式技术|网络协议|后端开发|Spring|SpringCloud,后端Java工程师
保定·竞秀区·电谷,智慧金马,检测/认证,本科,5-10年,12-16K,后端工程师|Java|MySQL|MyBatis,后端开发经理
武汉,武汉卓链,大数据,本科,5-10年,19-35K,全栈工程师|Java|团队管理经验|不接受居家办公|中大型项目架构设计经验|MySQL|Redis|后端工程师,高级后端开发
苏州,中咨城建,交通/运输,3个月,5天/周,150-200元/天,计算机/软件工程相关经验,前端+后端开发
深圳·南山区·后海,喜茶,食品/饮料/烟酒,本科,5-10年,30-40K·14薪,后端开发|架构师|MySQL|Redis|高并发|协议|缓存,后端架构师
杭州·西湖区·文二路,立方控股,移动互联网,本科,3-5年,13-18K·13薪,Spring|Kafka|Nginx|MySQL|Redis|MongoDB|Java|不接受居家办公|分布式经验|微服务经验|大数据经验|Java|Dubbo|MVC开发|Spring|SSM|Mybatis,java后端开发
苏州·昆山市·花桥,凯朗德,企业服务,本科,3-5年,30-40元/时,后端工程师,兼职后端开发
台州·椒江区·商业街商区,中威科技,其他专业服务,学历不限,3-5年,6-10K,Java|Spring|MyBatis|Docker|MySQL|SQL Server|PostgreSQL|微服务经验|架构设计经验|物联网经验|不接受居家办公,Java后端开发
成都·武侯区·双楠,成都富宸瑞,电子商务,大专,3-5年,6-7K,分布式技术|Spring|Redis|MySQL|后端开发|HTML,java后端开发
北京·大兴区·亦庄,芯语智能,人工智能,本科,3-5年,20-35K,Java|C|Python|Spring|SpringCloud|MyBatis|MySQL|Oracle|SQL Server|不接受居家办公|架构设计经验|云计算经验|分布式经验,后端开放工程师
北京·海淀区·学院路,臻盛网络,互联网,本科,3-5年,20-30K·16薪,Java|不接受居家办公|大数据经验,java后端开发
绵阳·涪城区·御营坝,本未空间,其他专业服务,3个月,5天/周,150-200元/天,分布式技术,后端开发实习
杭州·余杭区·仓前,快手,社交网络与媒体,本科,5-10年,45-75K·16薪,分布式技术|Spring|SpringMVC|Redis|MySQL|后端开发|Linux|软件工程师,快手电商java后端
杭州·西湖区·西湖,蚂蚁集团,互联网,本科,3-5年,20-40K,Java|后端开发|系统架构,Java后端开发
北京·海淀区·清河,安信义恒,信息安全,本科,1-3年,6-10K,Java|springCloud|springBoot|springSecurity,java后端开发
盐城·盐都区·世纪大道,鹤鸣亭国旅,旅游/景区,大专,3-5年,8-9K,Java开发经验|Java|C/C++|NoSQL|JavaScript|消息队列|Redis|MongoDB|软件工程师|后端工程师|Spring|后端开发,后端Java程序员
南宁·青秀区·东盟商务区,尚企云链,计算机软件,大专,1-3年,5-8K,Java|Mysql|Spring,Java后端开发
聊城·东昌府区·古楼,鲁信科技,计算机软件,学历不限,1-3年,4-7K,Java开发经验|Java|不接受居家办公|分布式系统开发经验|大数据处理经验|JavaScript|MySQL|后端工程师,Java后端开发
上海·松江区·九亭,国以贤,自动化设备,本科,3-5年,10-15K,Java|Spring|SpringCloud|Docker|MySQL,后端开端工程师
广州·番禺区·市桥,广州中基信息科技,计算机软件,本科,3-5年,10-12K,,中级后端开发
深圳,国民科技,电子/半导体/集成电路,本科,5-10年,25-45K·14薪,后端开发|总监|架构师|IoT|业务数据系统|云平台,后端开发总监
呼和浩特·赛罕区·大学东路,北京奥智元科技,人力资源服务,大专,5-10年,12-17K,Java|Spring|Redis,后端-云粒智慧
海口·秀英区·万达广场,海南厂务公开网络科技,计算机软件,大专,1-3年,5-6K,Java|MySQL|Spring|计算机/软件工程相关经验|Java开发经验,java后端开发
绍兴·柯桥区·柯桥万达广场,绍兴悟道科技有限公司,计算机软件,大专,1-3年,5-9K,Java,java工程师后端
哈尔滨·南岗区·宣化街,哈尔滨科通科技,通信/网络设备,大专,1-3年,6-8K,Java|C++|不接受居家办公,实习后端开发
深圳·南山区·科技园,顺丰速运,快递,本科,5-10年,15-30K·13薪,Java|SQL,后端架构师
成都·武侯区·中和,彩乐多,互联网,大专,3-5年,15-20K,不接受居家办公|Java|Spring|MyBatis|MySQL|Redis|SQL Server|游戏后端经验,游戏后端开发
上海·静安区·曹家渡,九麟生物科技,医疗健康,大专,3-5年,7-13K,Java,APP后端开发
玉溪·红塔区·中轴国际,近达信息技术有限公司,计算机软件,学历不限,经验不限,5-10K,Java|物联网经验|微服务经验|Redis|架构设计经验|Spring,java后端开发
北京·海淀区·四季青,远大瑞翔,互联网,本科,1-3年,8-13K,Java,JAVA工程师（后端）
