位置,公司名,公司行业,学历要求,经验要求,薪资,技能要求,职位
西安·雁塔区·绿地世纪城,沃趣科技,计算机软件,本科,3-5年,12-18K·13薪,后端|Python|Golang|服务端开发经验|python|Linux|MySQL|多线程|Redis|多进程|容器技术,python开发
厦门·湖里区·五缘湾,立壹科技,电子商务,大专,3-5年,13-18K·13薪,Python|Tornado|Scrapy|爬虫经验,Python开发工程师
天津·红桥区·邵公庄,电科信息技术,计算机硬件,本科,3-5年,8-13K,Python|Django|Linux开发/部署经验,python高级工程师
武汉·江夏区·光谷东,华为技术武研所,通信/网络设备,本科,经验不限,15-30K·16薪,Python|MongoDB|Flask,Python开发工程师
深圳·福田区·八卦岭,千百炼科技,电子商务,本科,1-3年,10-15K,Python|Numpy|Hadoop|Spark|机器学习经验,python开发工程师
广州·天河区·车陂,红石创想,计算机软件,本科,1-3年,8-12K·13薪,爬虫经验|服务端开发经验|算法基础|消息队列|计算机相关专业|数据结构|Python,Python开发工程师
西安·未央区·未央路沿线,龙嘉教育科技,培训/辅导机构,本科,5-10年,20-21K,Python|Django,python课程讲师（兼职）
北京·东城区·东单,OPay,互联网,本科,3-5年,35-40K·13薪,Python|风控|数据挖掘,Python工程 (MJ001526)
合肥·蜀山区·高新区,安徽慎一企业管理...,证券/期货,本科,1-3年,8-13K,Go,Python开发工程师
深圳·宝安区·西乡,小辛巴,计算机软件,大专,5-10年,15-20K,Python|后端开发|MongoDB|MySQL|Redis|数据分析|量化|加密货币,Python开发工程师
苏州·苏州工业园区·斜塘,美能华智能科技,计算机软件,3个月,3天/周,150-200元/天,Python|C/C++,Python开发实习生
北京·朝阳区·朝外,派悦坊,生活服务（O2O）,本科,3-5年,15-20K,Django|MySQL|接受无前端经验/技能|架构设计经验|Python,Python后端工程师
长沙·雨花区·武广新城,零食很忙,批发/零售,本科,3-5年,10-15K·13薪,Python|Java|Pandas|Numpy|TensorFlow|MySQL|Spark|Hive|爬虫经验,python开发工程师
重庆·渝北区·新牌坊,慈讯信息技术,计算机软件,学历不限,3-5年,90-95元/时,Python,python开发工程师
郑州·金水区·国贸360,霖客达,互联网,本科,1-3年,6-10K·14薪,Nginx|团队管理经验|微服务经验|MySQL|后端|Linux开发/部署经验|Python,python开发工程师
北京·昌平区·回龙观,联创信安,计算机软件,本科,经验不限,15-25K,Python|C++|C|Django|Flask|Docker|MySQL|Redis|MongoDB|架构设计经验|Linux开发/部署经验|分布式经验|熟悉Shell|文件、块、对象存储,python开发工程师
上海·浦东新区·源深,幻量科技,化工,本科,5-10年,20-26K·13薪,团队管理经验|Django|MySQL|Python|Flask,python后端工程师
上海·浦东新区·陆家嘴,招鲤,互联网,本科,经验不限,15-30K,python|Linux|AI,python研发工程师
