位置,公司名,公司行业,学历要求,经验要求,薪资,技能要求,职位
营口·西市区·沿海基地,中邮控股(辽宁)...,人力资源服务,高中,经验不限,2-3K,不含销售的客服工作|线上客服|电话客服|倒班工作制|办公室坐班|全职工作|人力资源外包客服|售后客服|不接受居家办公,信息员
六安·金安区·红街,创新电器,其他生活服务,高中,1年以内,3-4K,行政专员|行政后勤|信息员,信息员
抚顺·顺城区·将军,鑫鑫骜龙,运营商/增值服务,本科,1年以内,2-3K,客服|售后咨询,信息员
盐城·盐都区·世纪大道,福华世家医疗投资,医疗服务,学历不限,经验不限,4-7K,非广告投放类|营销策划能力|文案撰写能力|电子商务,信息员
宿州,品尚多超市,其他生活服务,大专,经验不限,3-5K,库房管理|供应商管理|档案管理,信息员
商洛·商州区·商州区中心城区,商州区天天乐生活超市,食品/饮料/烟酒,大专,1年以内,2-4K,供应商管理,信息专员
广州·花都区·雅瑶,金碧货运,交通/运输,本科,经验不限,4-6K,五险一金|带薪年假,信息专员
商丘·睢阳区·归德路,祥鼎汽车,新零售,学历不限,经验不限,3-8K,供应商管理|文字功底扎实|信息采集，信息销售,信息专员
银川·金凤区·大阅城,阅彩集团,其他生活服务,本科,1-3年,5-8K·14薪,数字化楼宇智控,信息主管
揭阳·榕城区·马牙路,揭阳市容大阿尔法...,汽车经销商,中专/中技,1年以内,3-5K,汽车,信息员
枣庄·市中区·龙头中路,山东天歌生物科技,广告/公关/会展,学历不限,5-10年,2-3K,打字员|文员|普工,信息员
沈阳·和平区·中山广场（医大一院）,美鸿鞋业有限公司,批发/零售,大专,1-3年,4-5K,企业内部IT技术支持|IT资产管理|计算机/通信相关专业|打印机/复印机维修经验|可适应出差,信息主管
商洛·山阳县·山阳县中心城区,山阳县锡安山家电...,其他生活服务,中专/中技,经验不限,2-3K,日常售后服务,售后信息员
贵阳·观山湖区·白云南路,贵州创艺装饰,装修装饰,学历不限,1-3年,5-8K,广告投放类|信息流投放,直播信息流
亳州,发现汽车销名爵4S店,4S店/后市场,高中,3-5年,3-4K,档案管理,汽车信息员
南通·崇川区·观音山,千拼数字科技,电子商务,大专,1-3年,6-10K,投放数据分析,信息流运营
天津·和平区·小白楼,天津茂业科技发展,互联网金融,学历不限,经验不限,8-10K,正常工作制|办公室坐班,信息审核专员
十堰·茅箭区·火车站,茅箭区智慧星信息...,培训/辅导机构,本科,1-3年,4-6K,全职工作|培训机构|线下教育|学前儿童/小学生|普通话发音标准|有大型教育机构经验|有教育工作经验|不接受居家办公,信息咨询
四平,金亿青春里,食品/饮料/烟酒,学历不限,1-3年,3-4K,封面设计|企业/自有品牌,信息主管
南昌·红谷滩区·铜锣湾广场,兴智教育,培训/辅导机构,学历不限,1-3年,7-12K·14薪,达芬奇|AE|有信息流相关工作经验|网感好|Premiere|脚本偏内容方向|熟知多个视频平台推荐算法|短视频,信息流编导
湖州,美欣达智汇,生活服务（O2O）,本科,3-5年,9-10K,数据|环保,信息化主管
邢台,巴比特影视公司,广播/影视,学历不限,经验不限,3-6K,文书起草|心理学专业|具备耐心阅读分析能力,信息专员
金华·义乌市·稠城,义乌市文化旅游发展,文化艺术/娱乐,本科,1-3年,6-8K·13薪,公司内部职位|图文广告|微博/微信广告|视频/直播广告|广告策划|音视频脚本|新媒体从业经验|制作过爆款文案|中文/广告相关专业,信息宣传
沧州,海兴君益贰牧牧业,农/林/牧/渔,大专,经验不限,3-5K,食品行业|农林牧渔,信息化验
银川·金凤区·宁安大街,新百,食品/饮料/烟酒,学历不限,经验不限,2-3K·13薪,货物验收/入库|质量管理|接受倒班,新百招聘仓库文员
