位置,公司名,公司行业,学历要求,经验要求,薪资,技能要求,职位
北京·延庆区·延庆城区,三栈科技,计算机软件,本科,3-5年,12-20K,Java|Redis|多进程|SpringBoot|后端工程师|网络协议|中级软件工程师|SQL|Java开发经验|分布式系统开发经验|负载均衡技术|MySQL|服务器端开发,Java
广州·天河区·龙口,莲印医疗科技,医疗健康,本科,1-3年,14-22K·14薪,SpringBoot|Hibernate|后端开发|架构师|高级软件工程师,Java
成都·双流区·华阳,成都威客字节,计算机软件,学历不限,经验不限,3-8K,Python|Java|MyBatis|Spring|SpringCloud|MySQL|接受居家办公|分布式经验|微服务经验,Java
北京·通州区·马驹桥,佳华美能,进出口贸易,本科,3-5年,10-15K,Java|数据库|Web前端,Java
深圳,比亚迪汽车工业,汽车研发/制造,本科,5-10年,15-20K,计算机软件|IT服务|Java|JavaScript|SQL|HTML|软件工程师,Java
长沙·岳麓区·麓谷,伦图科技,通信/网络设备,大专,3-5年,8-12K·13薪,Java|全栈开发|HTML|JavaScript|SSM|SQL Server,Java
成都·武侯区·中和,时空方程,互联网,本科,1-3年,6-10K·13薪,Java|SpringCloud|PostgreSQL,Java
长沙·长沙县·星沙一桥,飓风时代体育,文化艺术/娱乐,本科,3-5年,8-13K,服务器配置|分布式技术|SpringBoot|Spring|MySQL|网络编程|后端开发|SpringCloud,Java
广州·黄埔区·科学城,cvte,互联网,本科,1-3年,15-20K·13薪,Java开发经验|Java|分布式系统开发经验|MyBatis|后端工程师|Spring|计算机/软件工程相关经验,Java
武汉·洪山区·光谷,微众银行,互联网金融,本科,5-10年,20-30K·16薪,后端工程师|Java|Spring|MySQL|Java开发经验|分布式系统开发经验|金融|支付|银行,Java
盐城·盐都区·世纪大道,一之来,计算机软件,本科,5-10年,8-10K,多线程|后端开发|软件工程师|计算机软件,Java
武汉,美的it,计算机软件,本科,5-10年,18-25K·16薪,微服务架构|多进程|分布式技术|高级软件工程师|后端开发|SpringCloud|Spring,Java
金华·义乌市·稠城,维贤,电子商务,本科,1-3年,15-16K,Java,Java
西安·雁塔区·徐家庄,军地联合,互联网,本科,5-10年,12-18K,Java|系统架构|移动开发,Java
中山,凯嵘精密机械,机械设备/机电/重工,本科,1-3年,15-16K,,Java
烟台·莱山区·东泊子,荣华软件,计算机软件,大专,1-3年,5-8K,后端开发|MySQL|Java,Java
南昌,南昌迈遇电子商务,电子商务,本科,1-3年,4-8K,Java|Spring|MySQL|接受居家办公,Java
常州·钟楼区·兰陵,怀南汇,电子商务,大专,3-5年,10-15K,架构师|Java|JavaScript|HTML,Java
广州·黄埔区·文冲,如家区块链,企业服务,本科,3-5年,15-30K·13薪,Java|分布式技术|微服务架构|消息队列|Spring|Redis|MySQL|高级Java工程师,Java
杭州·西湖区·西溪,溪鸟物流科技,互联网,大专,3-5年,20-30K·17薪,架构师|分布式技术|Java,Java
上海·徐汇区·岳阳,盾盟,计算机软件,本科,3-5年,15-30K·13薪,SpringBoot|SQL|后端开发|流媒体技术|微服务架构|SpringCloud|架构师|经理项目,Java
深圳·龙岗区·龙岗中心城,纵维立方科技,电子商务,大专,3-5年,15-30K·13薪,微服务架构|搜索引擎技术|容器技术|架构师|高级软件工程师|后端开发|全栈开发|SpringBoot,Java
武汉·江夏区·光谷,凌绝信息,计算机服务,本科,5-10年,15-30K·13薪,Java|Linux|JS,Java
赣州,百世诚科技,游戏,学历不限,1-3年,5-10K,全栈工程师|Java,java
太原·迎泽区·桥东,信步商云,新零售,本科,1-3年,8-12K,ERP|后端开发|Javascript,Java
哈尔滨·南岗区·哈西,淘乐思,互联网,大专,1-3年,3-5K·13薪,MySQL|后端开发|HTML,Java
杭州·西湖区·文二路,卫慧科技,医疗健康,本科,3-5年,12-18K,服务器端开发|SQL|微服务架构|MVC开发|Spring|Redis|PostgreSQL|MySQL,Java
东营·东营区·东城,山东胜软,计算机软件,本科,1-3年,6-7K·14薪,SpringMVC|Oracle|MySQL|全栈开发|Windows|软件工程师|Eclipse,Java
北京·东城区·东四,科思互联,计算机软件,本科,3-5年,9-15K,数据库|后端开发|Java,Java
杭州·滨江区·长河,华为,计算机软件,本科,经验不限,30-60K·16薪,分布式技术|后端开发|Linux,Java
阜阳,安徽嘉禾壹品餐饮管理,餐饮,本科,1-3年,15-16K,,Java
德州,通得科技,大数据,大专,1-3年,4-5K,Java|Spring|SpringCloud|MyBatis|MySQL|Redis|不接受居家办公|架构设计经验|分布式经验|大数据经验,Java
南京·雨花台区·宁南,多米科技,计算机软件,本科,3-5年,20-40K,服务器端开发|分布式技术|微服务架构|消息队列|算法基础|MVC开发,Java
杭州·余杭区·未来科技城,阿里巴巴集团,互联网,本科,3-5年,20-40K·14薪,Java|分布式技术|Linux|计算机软件|Spring|MySQL|后端开发|CRM,Java
苏州·昆山市·玉山,博浪,计算机软件,本科,3-5年,10-15K,SQL|多线程|MVC开发|Spring|MySQL|GIT|Maven|SVN,Java
成都,云端互联,计算机软件,大专,5-10年,10-15K,Java,Java
北京·昌平区·回龙观,小米,互联网,12个月,5天/周,150-250元/天,Java|Spring|MyBatis|JVM|MySQL|Redis|HBase,Java
深圳·宝安区·新安,上海恒虎信息技术,互联网,本科,3-5年,22-40K·16薪,Java,Java
成都·武侯区·紫荆,中国网安,信息安全,本科,1-3年,15-16K,SQL,Java
烟台·芝罘区·幸福商圈,烟台科瑞赛思教育科技,企业服务,本科,3-5年,10-11K,后端工程师|Java,java
厦门·思明区·莲前,厦门市集美区瑾屹...,其他行业,本科,1-3年,8-13K,Java|Spring|MyBatis,Java
深圳·福田区·岗厦,酒淋后,计算机服务,本科,5-10年,15-16K,Java|Spring|SpringCloud|MyBatis|MySQL|Redis|Oracle|不接受居家办公|架构设计经验|团队管理经验,Java
成都·龙泉驿区·大面,畅加科技,互联网,大专,3-5年,9-13K,后端开发|Java|系统架构,Java
烟台·莱山区·烟台火车站（南站）,山东威尔数据,计算机软件,本科,3-5年,6-9K,Java|Spring|SpringCloud|MySQL,java
杭州·西湖区·西溪,菜鸟网络,互联网,本科,3-5年,20-40K·16薪,管理系统|Java|分布式技术|多线程|消息队列|后端开发,Java
南京·玄武区·徐庄软件园,苏宁易购,电子商务,本科,5-10年,15-30K,Java|多线程|Spring,Java
杭州·余杭区·五常,考拉海购,电子商务,本科,3-5年,20-35K,后端开发|SSM|分布式技术|微服务架构|NoSQL|MySQL,Java
重庆·南岸区·茶园新区,鲲之翼科技,计算机软件,本科,3-5年,7-10K,Java|Redis|MySQL,java
北京·海淀区·牡丹园,房地产,房地产中介/租赁,本科,1-3年,10-11K,SpringBoot|SpringCloud|Spring|SpringMVC|Hibernate|SSH,Java
南宁·青秀区·民族大道,南宁市朗风科技,通信/网络设备,本科,3-5年,10-12K,Java|Spring|Docker|Spark|PostgreSQL|不接受居家办公,Java
上海·浦东新区·金桥,华为杭研所,互联网,本科,经验不限,15-25K·14薪,Java|Python|MyBatis|Elasticsearch|Docker|MySQL|Redis|PostgreSQL|不接受居家办公|微服务经验|云计算经验|架构设计经验,Java
厦门·思明区·万达广场,百年小灶,餐饮,本科,1-3年,15-16K,C|Dubbo|Tomcat|SQL Server|PostgreSQL,Java
杭州·滨江区·长河,中材邦业,智能硬件,本科,3-5年,15-20K,springBoot|SpringCloud,java
杭州·余杭区·仓前,阿里巴巴集团,互联网,本科,1-3年,20-40K,Java|后端开发|数据库,Java
长沙,桥康智能,仪器仪表/工业自动化,大专,3-5年,8-9K,JavaScript|SQL|Shell|网络协议|MySQL|Oracle|Linux|Windows,Java
杭州·余杭区·五常,阿里巴巴集团,互联网,本科,3-5年,18-28K,电子商务|Java|Spring|分布式技术|MySQL|后端开发,Java
成都·武侯区·桂溪,杜客科技,计算机软件,本科,1-3年,7-8K,,java
北京·大兴区·亦庄,京东集团,电子商务,本科,5-10年,20-40K·16薪,Java,java
潍坊·奎文区·高新区,维克特医疗,计算机软件,本科,3-5年,6-8K,Java|Web端,Java
北京·昌平区·天通苑,点动互联,计算机软件,大专,1-3年,10-15K,Java|微服务架构|SpringMVC,Java
长沙·岳麓区·麓谷,深圳阿瑞斯,计算机软件,本科,5-10年,15-20K,Java|数据库|后端开发,Java
南京·玄武区·徐庄软件园,途牛旅游网,互联网,博士,经验不限,1-6K·13薪,Java|C|C++|Spring|SpringCloud|MyBatis|MySQL|Redis|接受居家办公|团队管理经验,Java
武汉·江夏区·藏龙岛,中国船舶重工集团...,半导体/芯片,本科,1-3年,13-25K,Spring|Hibernate|MVC开发|微服务架构|Oracle|WEB开发|架构师|高级软件工程师,Java
上海·浦东新区·张江,杰智融,计算机软件,本科,1-3年,10-14K,Java|SpringCloud|MySQL|Hive|不接受居家办公|微服务经验|大数据经验,java
东莞,中科碳菁,仪器仪表/工业自动化,本科,1-3年,5-10K,数据结构|SQL|HTML|Python|客户端开发|后端开发,Java
