位置,公司名,公司行业,学历要求,经验要求,薪资,技能要求,职位
杭州·滨江区·西兴,零跑科技,智能硬件,本科,1-3年,15-30K·14薪,DSP开发|嵌入式软件开发|音视频编解码|C语言|Linux,嵌入式
杭州·余杭区·仓前,阿里巴巴集团,互联网,本科,5-10年,50-100K,嵌入式|射频|智能硬件,嵌入式
深圳·南山区·华侨城,骏龙,通信/网络设备,本科,1-3年,11-20K·13薪,C|STM32开发|ARM开发|通信相关专业|电气电气/自动化相关专业|嵌入式/单片机开发经验,嵌入式
宁波·鄞州区·南部商务区,埃美水表,仪器仪表/工业自动化,本科,3-5年,15-30K·13薪,嵌入式软件开发|单片机开发|射频开发|无线开发|嵌入式技术|网络协议,嵌入式
珠海·金湾区·红旗镇,本芯科技,智能硬件,大专,1-3年,5-10K·15薪,嵌入式技术|RTOS|嵌入式软件开发|单片机开发|万用表|示波器|烙铁|逻辑分析仪,嵌入式
北京·朝阳区·定福庄,天创金农,农/林/牧/渔,大专,1-3年,9-14K,嵌入式技术|网络协议|嵌入式软件开发,嵌入式
南京·江宁区·开发区,国网电科院,电力/热力/燃气/水利,硕士,1-3年,12-22K,DSP开发|C语言|嵌入式软件开发|C++|C#,嵌入式
西安·莲湖区·土门,庆安航空电子,电子/半导体/集成电路,本科,5-10年,12-22K,架构师|嵌入式技术|DSP开发,嵌入式
深圳·宝安区·西乡,BesTom,互联网,本科,经验不限,8-13K,智能硬件|嵌入式|驱动开发,嵌入式
北京·海淀区·魏公村,国科天迅,通信/网络设备,本科,3-5年,20-25K·14薪,网络设备|通信|嵌入式技术|网络协议|Linux|C++|软件工程师|RTOS,嵌入式
福州·长乐区·金峰镇,福州康视智能科技...,计算机软件,硕士,1-3年,12-18K,嵌入式技术|Linux|自动化技术|系统集成技术|单片机开发|嵌入式软件开发|驱动开发|嵌入式硬件开发,嵌入式
深圳·光明区·光明,瑞沃泰克,通信/网络设备,本科,1-3年,10-15K,C++|C|电源系统软件开发|C语言|嵌入式/单片机开发经验|通信|电气电气/自动化相关专业|ARM开发|嵌入式技术|驱动开发,嵌入式
