位置,公司名,公司行业,学历要求,经验要求,薪资,技能要求,职位
长沙·雨花区·东塘,长沙瑞达,进出口贸易,大专,1-3年,5-7K,西班牙语|销售经验|家居用品|贸易跟单|法语|德语|英语可用于工作|外贸跟单|熟悉报关单据制作,外贸跟单员
长沙·芙蓉区·朝阳路,有成电商,电子商务,本科,1-3年,5-8K,西班牙语|不接受居家办公|接受无跨境电商运营经验|大型B2B/B2C网站经验|电商店铺运营|B2C|小语种|法语|德语|Amazon|数据分析能力,亚马逊运营专员（美国站/日本站/欧洲站）
长沙·开福区·湘江中路,泽久远毅,电子商务,大专,3-5年,6-10K,家居用品|掌握小语种|国际贸易专业|有外贸工作经验|西班牙语|俄语|日语|年终奖|不限,外贸业务员
长沙·开福区·四方坪,三堂国际贸易,进出口贸易,大专,1-3年,4-9K,电商店铺运营|接受无跨境电商运营经验|美客多|竞品分析|西班牙语,美客多运营
长沙,湖南为思迈,医疗器械,大专,1-3年,4-8K·13薪,年终奖|西班牙语|俄语|有外贸工作经验|掌握小语种|每周双休|国外进修|医药设备|英语可用于工作,外贸业务员+双休+五险一金+团队氛围很chill
长沙·芙蓉区·马王堆,鹏铮科技,进出口贸易,本科,1-3年,4-8K,英语可用于工作|掌握小语种|国际贸易专业|每周双休|年终奖|西班牙语|德语,外贸经理
长沙·雨花区·井湾子,湖南银至,进出口贸易,大专,1-3年,6-11K,西班牙语|邮件开发|掌握小语种|建筑材料|询盘订单出口|阿里巴巴，中国制造|Google，linkedln|年终奖|钢材行业出口经验优先|外贸销售|包住宿|每周双休|环保用品|社交媒体开发跟进,6-12K+ 外贸业务员 双休
长沙·开福区·青竹湖,湖南云中付,进出口贸易,大专,1年以内,5-9K,电商店铺运营|B2C|数据分析能力|英语可作为工作语言|小语种|西班牙语|俄语|法语|不接受居家办公|接受无跨境电商运营经验,速卖通运营助理双休
长沙·雨花区·圭塘,湖南倍美机械有限公司,进出口贸易,大专,1-3年,9-14K,西班牙语|俄语|有外贸工作经验|每周双休,外贸业务经理
长沙·岳麓区·麓谷,长沙京驰新材料科技,原材料及加工/模具,大专,经验不限,10-15K,西班牙语|家居用品|俄语|服装饰品|掌握小语种|每周双休|英语可用于工作|德语|熟悉跨境平台操作,外贸业务员
长沙·岳麓区·麓谷,数客星球,电子商务,本科,经验不限,5-10K,品类运营|店铺运营|家居日用|数据分析能力|英语四级|西班牙语|精品运营,亚马逊运营(五险一金+大小周）
长沙·岳麓区·洋湖垸,深圳海誉,进出口贸易,大专,经验不限,8-13K·13薪,年终奖|每周双休|不需要出国工作|不限|家居用品|环保用品|英语可用于工作|有外贸工作经验|掌握小语种|西班牙语|德语|俄语,外贸销售代表
长沙·长沙县·汽车东站,博翼,机械设备/机电/重工,大专,1-3年,6-7K,贸易|贸易跟单|英语|进出口操作|五金零件|西班牙语|外贸专员,贸易跟单
长沙·望城区·雷锋镇,沁森高科,环保,大专,1-3年,6-11K,有外贸工作经验|俄语|西班牙语|葡萄牙语,国外业务销售经理
长沙,长沙斯帕克电子,机械设备/机电/重工,大专,经验不限,4-8K,英语可用于工作|掌握小语种|西班牙语|电子产品|外国客户沟通,外贸业务员
长沙·芙蓉区·五一广场,青穗国际小语种,培训/辅导机构,本科,经验不限,80-120元/时,兼职|培训机构|线下教育|不坐班|一对一教学|小班教学（3-25人）|留学背景|教育学专业背景|大型教育机构经验|大学/大专生|成人|留学与语言培训类|德语|意大利语|西班牙语,小语种老师
长沙·岳麓区·青山镇,登喜科技,进出口贸易,大专,1-3年,2-7K,西班牙语|外贸 |俄语|市场开发|掌握小语种|有外贸工作经验|医药设备|英语可用于工作|CET6,外贸业务员
长沙·芙蓉区·定王台,扬泰,工艺品/收藏品,本科,1-3年,5-10K,年终奖|西班牙语|俄语|国际贸易专业|掌握小语种|有外贸工作经验,外贸业务专员
长沙·天心区·黄土岭,长沙浩宇工艺品进出口,进出口贸易,本科,1-3年,7-12K,西班牙语|不需要出国工作|家居用品|俄语|包住宿|环保用品|掌握小语种|有外贸工作经验|每周双休|英语可用于工作|德语,外贸业务员【双休/15-30万】
长沙·开福区·湘江中路,长沙美蓝企业管理,电子商务,大专,1-3年,5-7K,电子商务|海外社交媒体营销推广经验|留学生优先|英语可作为工作语言|小语种可作为工作语言|英美留学生|欧洲留学生|东南亚留学生|西班牙语|网红营销|kol,TikTok海外达人BD
长沙·雨花区·德思勤城市广场,湖南玛雅智能科技,医疗器械,本科,经验不限,8-13K·16薪,西班牙语|年终奖|不需要出国工作|俄语|掌握小语种|有外贸工作经验|医药设备|英语可用于工作|德语,外贸业务员
