位置,公司名,公司行业,学历要求,经验要求,薪资,技能要求,职位
深圳·龙岗区·龙岗宝荷,联赢激光,仪器仪表/工业自动化,大专,经验不限,5-8K,C#|硬件|计算机软件|Windows,C#
济南·历城区·唐冶,晨歌电子技术,智能硬件,本科,1-3年,6-9K,C#|C#开发经验|.NET开发经验|ASP.NET|计算机相关专业,C#
苏州·太仓市·太仓,安第斯,计算机软件,本科,1-3年,5-6K,.NET|C++|算法基础|WPF|软件工程师|Windows|Visual Studio|GIT,C#
苏州·苏州工业园区·车坊,莫克,计算机软件,大专,1-3年,7-10K,计算机软件|C#|SQL|.NET,C#
常州·武进区·湖塘,元气科技,计算机软件,本科,3-5年,5-8K,C#|计算机相关专业|C#开发经验|unity,C#
深圳·宝安区·西乡,优尔数控,计算机软件,本科,1-3年,9-14K·13薪,C#|C++|机器视觉|C#开发经验|运动控制|多线程|.NET开发经验|软件工程师|计算机相关专业|Visual Studio|Windows|图形图像处理,C#
合肥·肥东县·龙岗,智州科技,计算机服务,本科,1-3年,6-8K·13薪,C#,C#
厦门·思明区·嘉莲,auto eco智动一刻,大数据,学历不限,经验不限,14000-15000元/月,C#|C++|Java|CAD,C#
长沙·雨花区·云塘理工,HOSTECHN,机械设备/机电/重工,本科,1-3年,8-13K·13薪,C++|SQL|MySQL|软件工程师|Windows|Visual Studio,C#
苏州·苏州工业园区·娄葑,恒泰科技(ERP),计算机软件,大专,经验不限,3-5K,C#|ADO.NET|SQL Server|计算机相关专业|C#开发经验|.NET开发经验,C#
金华·婺城区·五一路,宁波红升,批发/零售,博士,10年以上,3-4K,Python|SQL|VB|C++|JavaScript,C#
沈阳·浑南区·桃仙,空管技术公司,通信/网络设备,本科,1-3年,5-10K,.NET|MVC开发|WPF|MySQL|SQL Server|软件工程师|Windows|Visual Studio,C#
北京·朝阳区·常营,驰疆科技,互联网,本科,经验不限,10-16K,.NET|C#|数据库,C#
苏州·昆山市·玉山,博浪,计算机软件,大专,1-3年,5-10K,.NET|C#,C#
厦门·思明区·莲花,单元格(厦门)科...,计算机软件,大专,1-3年,7-9K,后端开发|客户端开发|.NET|WPF,C#
苏州·昆山市·玉山,仁宝集团,电子/半导体/集成电路,本科,1-3年,5-7K,.NET|多线程|Winform|软件工程师|Visual Studio|物联网,C#
绍兴,宏兴机械,机械设备/机电/重工,本科,5-10年,10-12K,C#|SQL|C++|.NET|Visual Studio|计算机软件,C#
台州·黄岩区·黄岩中心城区,台州天网,移动互联网,本科,经验不限,6-11K,数据库|ERP|C#|SQL|.NET|后端开发|全栈开发|软件工程师,C#
厦门·湖里区·湖里大道,云当网,大数据,本科,1-3年,6-8K,.NET|全栈开发|微服务架构|网络爬虫技术|MySQL|软件工程师|Web端|大数据,C#
青岛·李沧区·李村公园,网游,互联网,大专,5-10年,11-16K,C#,C#
深圳·宝安区·西乡,融智联,移动互联网,大专,3-5年,12-14K,C#|后端开发|数据采集,C#
北京·朝阳区·安贞,国交空间,政府/公共事业,大专,经验不限,15-30K,.NET|WPF|DevExpress,C#
厦门·集美区·侨英,厦门奥科伟业物联...,智能硬件,大专,经验不限,6-10K,后端开发|.NET|Framework,C#
深圳·福田区·石厦,深圳市跃动海豚文化,计算机软件,本科,3-5年,12-18K,,C#
成都·武侯区·桂溪,共达旭晟,计算机软件,本科,3-5年,9-14K,C/C++|C#|Java,C#
南京·玄武区·新街口,南京拂晓信息技术,计算机服务,大专,3-5年,9-14K,C#,C#
武汉·江汉区·西北湖,元壤科技,计算机软件,本科,经验不限,7-12K,C#|ASP.NET|ADO.NET|C#开发经验|.NET开发经验|计算机相关专业,C#
上海,上海联影,医疗器械,硕士,5-10年,22-35K,C#|C#开发经验|.NET开发经验|.NET|计算机相关专业|网络协议|WPF,C#
西安·雁塔区·高新软件园,众禾数联,大数据,本科,1-3年,10-15K,C#|ASP.NET|SQL Server|计算机相关专业|.NET开发经验|C#开发经验|不限|MySQL|后端开发|SQL,C#
成都·青羊区·草市街,米果码,互联网,大专,1-3年,7-9K·13薪,C#|C#开发经验,C#
苏州·虎丘区·科技城,律盾,计算机软件,本科,3-5年,13-18K,C#|MySQL|.NET开发经验|项目管理|SaaS|.NET CORE,C#
成都·双流区·华阳,九阵智科,计算机软件,大专,1-3年,9-14K,Winform|WCF|MVC开发|SQL Server|Oracle|软件工程师|DevExpress|WPF,C#
深圳·福田区·益田村,盈天下视觉科技,广告/公关/会展,本科,1年以内,8-12K,C#|Flash|图像识别,C#
北京·大兴区·亦庄,航天易联,其他行业,大专,5-10年,10-15K,后端开发|软件工程师,C#
武汉·蔡甸区·沌口,力马东升,计算机软件,本科,3-5年,9-10K,C#|企业软件|数据采集,C#
芜湖·镜湖区·香格里拉,吾享网络,互联网,大专,1-3年,10-15K,C#|C#开发经验,C#
深圳,友拓伟业,自动化设备,大专,1-3年,10-15K,SQL|.NET|数据结构|MySQL|软件工程师|Windows|Visual Studio,C#
杭州·滨江区·长河,大牧医疗,医疗器械,本科,1-3年,13-20K·14薪,Windows|客户端开发|Winform|WPF|Visual Studio,C#
北京·昌平区·天通苑,宝徳龙健身,医疗健康,高中,经验不限,15-16K,C#|ASP.NET|C++,C#
宁波·慈溪市·杭州湾新区,麦登威,建筑设计,本科,经验不限,6-7K,C#|C#开发经验|ADO.NET|ASP.NET,C#
成都·武侯区·紫荆,四度空间,通信/网络设备,本科,1-3年,12-22K,前端开发|C/C++|C#,C#
上海·浦东新区·康桥,上海明屹,半导体/芯片,本科,经验不限,12-23K·13薪,C#|C#开发经验|WPF|MVVM|半导体设备,C#
泰州·海陵区·市中心商业区,上海思芮,计算机软件,本科,1-3年,6-7K,C#|C#开发经验|his,C#
海口·龙华区·金贸,银盛支付海南分公司,互联网金融,大专,1年以内,4-7K,Java|.NET|数据库,C#
深圳·龙华区·龙华,沃易科技,计算机软件,本科,在校/应届,5-8K,数据库|C#|企业软件,C#
大庆·让胡路区·新天问,金东方,计算机软件,本科,5-10年,12-15K,C#|C#开发经验|.NET开发经验|Windows|Visual Studio|图形软件开发,C#
福州·仓山区·金山,云智在,智能硬件,本科,1年以内,10-15K·13薪,C#|.NET,C#
深圳·福田区·梅林,佰元汇商贸,电子商务,本科,5-10年,24-30K,C#|C#开发经验|ASP.NET|.NET开发经验|SQL Server|系统架构设计经验,C#
泉州·石狮市·步行街,泉州翔晟网络科技公司,互联网,学历不限,经验不限,3-6K,C#|C/C++|易语言,C#
杭州,瑞声检测,计算机硬件,本科,经验不限,15-30K,Winform|Windows|图形图像处理|算法基础|上位机|超声检测,C#
沈阳·沈河区·青年大街,沈阳天元,计算机软件,本科,1-3年,4-8K,C#|.NET|Winform,C#
深圳·罗湖区·翠竹,中威软件,计算机软件,本科,1-3年,5-9K,C#|MySQL|SQL Server|计算机相关专业|C#开发经验|.NET开发经验,C#
成都·金牛区·一品天下,汇码科技,计算机软件,大专,3-5年,8-13K·13薪,C#|网络协议|数据结构|.NET,C#
大连·金州区·开发区,之睿安,计算机软件,学历不限,经验不限,5-10K,.NET|SQL Server|消息队列|网络协议|多线程|软件工程师|Windows,C#
苏州·虎丘区·科技城,卡目索纳智能科技...,仪器仪表/工业自动化,本科,经验不限,13-20K,.NET|多线程|WCF|图形图像处理|高级软件工程师|Windows,C#
福州·晋安区·化工路,中耀科技,互联网,本科,1年以内,3-4K,后端开发|.NET|C#,C#
上海·松江区·永丰,云碁计算机,移动互联网,5个月,5天/周,10-20元/天,轻度/中度言语残疾|听力残疾|轻度/中度听力残疾|言语残疾|.NET|Framework,c#
深圳·龙岗区·平湖,润得科技,智能硬件,本科,3-5年,12-24K,Web前端|C#|前端开发,C#
北京·海淀区·上地,妈咪助理,在线教育,本科,1-3年,12-15K,C#|软件开发|SQL,C#
潍坊·奎文区·高新区,中软国际,计算机软件,大专,5-10年,10-15K,C#|Oracle|ASP.NET|计算机相关专业|.NET开发经验|C#开发经验|.NET Core项目经验,C#
遵义·红花岗区·海尔大道,先知科技,计算机软件,本科,3-5年,6-8K,.NET|ASP.NET|ASP|Winform|软件工程师|GIT,C#
临沂·兰山区·北城新区,军米智能,计算机软件,学历不限,经验不限,12-22K,C#|SQL Server|C#开发经验|计算机相关专业|系统架构设计经验,C#
上海·普陀区·万里,SFS施福圣,计算机软件,本科,5-10年,20-25K·13薪,C#|ASP.NET|C#开发经验,C#
杭州·西湖区·高新文教区,杭州汇科,信息安全,本科,1-3年,8-10K·14薪,SQL|C++|JavaScript|.NET|后端开发,C#
北京·海淀区·清河,先河环保,大数据,本科,3-5年,15-20K·13薪,.NET|多线程|网络编程|消息队列|Winform|SQL Server|中级软件工程师|Visual Studio,C#
上海·闵行区·浦江,奥创客维,互联网,本科,3-5年,15-23K,C#|C#开发经验|ASP.NET,c#
上海·浦东新区·潍坊,富谙智,互联网金融,本科,3-5年,20-30K,.NET,C#
咸宁·咸安区·湖北科技学院,湖北须尽欢信息技术,企业服务,大专,5-10年,5-6K·13薪,C#|ASP.NET|SQL Server|多线程|并发|分布式,C#
沈阳·和平区·新华广场,昱龙科技,计算机软件,大专,3-5年,8-10K,C#|WinForm|客户端开发|Winform|软件工程师|高级软件工程师|SQL Server|DevExpress,C#
淮安·清江浦区·大学城,龙之杰,计算机软件,大专,3-5年,5-6K,计算机软件|C#|C++|JavaScript|SQL|PHP|MySQL|PC端,C#
鄂尔多斯·东胜区·民生广场,诚兴电子,计算机软件,大专,经验不限,4-6K,C#|SQL Server,C#
北京·大兴区·亦庄,卓越时代,计算机软件,大专,5-10年,12-18K·13薪,.NET|MVC开发|ASP.NET|MySQL|中级软件工程师|加班少,C#
青岛·城阳区·青特上豪,青岛麦意斯,计算机软件,本科,在校/应届,4-6K,C#|企业软件,C#
成都·双流区·航空港,车服云智公司,其他专业服务,大专,5-10年,15-16K·13薪,C#|Golang|C#开发经验|中大型项目开发经验|系统架构设计经验,C#
上海·奉贤区·柘林,上海奥宇,互联网,学历不限,经验不限,6-9K,C#|Python|PHP,C#
长春·绿园区·208医院,长春亿达,互联网,本科,1年以内,4-8K,数据库|C#|全栈,C#
合肥·蜀山区·环湖东路,星服科技公司,计算机软件,大专,1-3年,7-8K,后端开发|Web前端|C#,C#
深圳·龙华区·观澜,汝成软件技术服务,计算机服务,本科,经验不限,11-13K,C#|MySQL|计算机相关专业,C#
苏州·苏州工业园区·独墅湖,微软,计算机软件,本科,经验不限,20-30K,.NET|SQL Server|软件工程师|Windows|Visual Studio|GIT,C#
深圳·龙华区·观澜,DERSIEG,电子/半导体/集成电路,本科,1-3年,1-2K,计算机软件|.NET,C#
上海·闵行区·万源城,安比来,计算机软件,本科,经验不限,15-16K,游戏引擎,C#
绵阳·涪城区·御营坝,展望,智能硬件,本科,1年以内,5-8K,.NET|Delphi|C/C++,C#
苏州·吴江区·松陵,三齐科技,计算机软件,本科,1-3年,11-18K,C#|数据库|devexpress,C#
赣州·章贡区·八一四大道,辰铭科技,电子商务,本科,1-3年,3-4K,网络爬虫技术,C#
太原·杏花岭区·涧河路,倒计时,电子商务,学历不限,在校/应届,2-3K,C#|Java|系统架构,C#
西安·雁塔区·西安高新区,吉塞尔科技,计算机软件,本科,1-3年,6-9K,C#|C#开发经验,C#
大连·沙河口区·软件园,IPD,计算机软件,本科,1-3年,5-7K,C#|.NET|数据库,.NET(C#)软件工程师
北京,采拓科技,计算机软件,本科,1-3年,6-11K,C#,.net(C#)开发工程师
石家庄·新华区·新百广场,智方,互联网,本科,1-3年,6-8K·13薪,CSS|.NET|网络协议|MVC开发|WCF|SQL Server|Oracle|MySQL,.net(C#)开发工程师
佛山·南海区·千灯湖,佛山华若,通信/网络设备,大专,1-3年,3-8K,计算机软件|C#|SQL|ERP,"C#，VB.net,自动控制"
淄博,松果信息,计算机软件,大专,经验不限,5-8K,.NET|Linux|C#,软件开发C# .NET开发
镇江·丹徒区·宝龙城市广场,易伦特信息科技有...,计算机软件,本科,1-3年,5-10K·13薪,C#|RPA|C#开发经验|算法基础|.NET|SVN|SQL Server|Visual Studio,C#.net开发工程师
北京·海淀区·上地,奈思极客,计算机软件,大专,1-3年,8-13K,MVC开发|.NET|JavaScript,C#
佛山·南海区·桂城,佰特智慧物联,互联网,本科,1-3年,7-11K,C#|ASP.NET|SQL Server|计算机相关专业|C#开发经验|.NET开发经验,C#
北京·朝阳区·望京,泛沧科技,计算机软件,本科,5-10年,20-40K·13薪,C#|ADO.NET,C#
济南·历城区·唐冶,沐丰,移动互联网,大专,1-3年,8-10K,.NET|MVC开发|SQL Server,C#
北京·朝阳区·高碑店,北京博观,物流/仓储,大专,1年以内,6-7K,管理系统|C#|SQL|.NET,C#
西安·雁塔区·电子城,中科微光软件科技,计算机软件,本科,3-5年,10-15K,SQL|MVC开发|WPF|C#|物联网,C#
临沂·兰山区·临西八路,中拓物流,交通/运输,学历不限,1-3年,7-12K,C#|C#开发经验|ADO.NET|ASP.NET,C#
阜阳,码游网络科技,互联网,学历不限,3-5年,30-50元/时,C#|ASP.NET|C++,C#
珠海·香洲区·狮山,网欣软件,计算机软件,3个月,4天/周,150-200元/天,Java|C#|SQL Server|计算机相关专业,C#
南京·浦口区·沿江,东屋世安,智能硬件,本科,1-3年,10-15K,C#,C#
大连,丰德科技,计算机软件,大专,经验不限,4-8K,数据库|.NET|C#|后端开发|PC端,C#
天津·西青区·侯台,栢奕容,计算机软件,大专,1-3年,4-6K,C#|C++|MySQL|计算机相关专业|C#开发经验|C++|服务器端开发|MySQL|软件工程师|Windows|后端开发,C#
