位置,公司名,公司行业,学历要求,经验要求,薪资,技能要求,职位
南昌·红谷滩区·红角洲,赣驾服,智能硬件,大专,1-3年,7-11K·14薪,前端开发|JavaScript|Vue|ES6|GIT|MySQL|Node.js|Web端,前端vue开发工程师
成都·金牛区·洞子口,汇众远航,电子商务,大专,1-3年,3-7K,前端开发|后端开发|JavaScript|CSS|HTML|Java|PHP|Python,vue前端开发工程师
拉萨·堆龙德庆区·柳梧新区,顶峰科技,计算机软件,大专,3-5年,8-11K,前端开发,vue前端开发工程师
漳州·龙文区·万达广场,文晟电子科技,电子商务,本科,1-3年,10-15K,前端开发|全栈开发|WEB开发|.NET|CSS|JavaScript|Vue|Vue.js,Vue前端开发工程师
南宁·青秀区·会展中心,广西智桂付智能科技,互联网金融,本科,1-3年,9-13K,Vue|CSS|HTML5|前端开发经验|架构师经验|计算机/软件工程相关专业,vue前端开发工程师
南昌·红谷滩区·万达广场,南熙航,互联网,本科,3-5年,8-12K·13薪,CSS|Web端|JavaScript|Vue|Sass|小程序|前端开发经验|计算机/软件工程相关专业|架构师经验,前端开发工程师（移动web/Vue）
聊城·东昌府区·综合楼,龙睿网络,移动互联网,本科,3-5年,8-13K,前端开发|WEB开发|HTML|CSS|HTML5|React|Web端|移动端,中级VUE前端开发+双休+五险
深圳·宝安区·西乡,深圳南洋伯乐信息服务,社交网络与媒体,大专,5-10年,8-13K,Vue|计算机/软件工程相关专业|前端开发经验|app开发经验,远程办公-VUE前端高级顾问
西安·未央区·三桥,广州倾梦生物科技,美容,本科,5-10年,7-12K,Vue|JavaScript|CSS|计算机/软件工程相关专业|前端开发经验|架构师经验|不接受居家办公,flutter/vue前端开发工程师
武汉·洪山区·虎泉,武汉第拾智慧信息科技,计算机软件,大专,经验不限,1000-3500元/月,JavaScript|React|Vue|计算机/软件工程相关专业|前端开发经验|技术博客/开源项目有所贡献|接受居家办公|web3|区块链|人工智能,vue/react前端开发工程师
临沂·罗庄区·双月湖,引食,食品/饮料/烟酒,大专,1-3年,5-8K,Java|不接受居家办公|JavaScript|HTML5|计算机/软件工程相关专业|前端开发经验|架构师经验,前端开发/uniapp 开发/vue 开发
呼和浩特·玉泉区·南茶坊,鸿印科技有限公司,计算机软件,本科,3-5年,10-15K,Java|Vue|计算机/软件工程相关专业|前端开发经验|Python,高级前端开发工程师(vue)
西安·长安区·紫薇田园都市,朝阳医疗,计算机软件,本科,3-5年,10-15K,JavaScript|HTML5|Vue|前端开发经验|计算机/软件工程相关专业|不接受居家办公|Vue3.0|调用3D模型|Uni-app,前端开发工程师（Vue3.0/Uni-app）
常州·天宁区·青龙邻里中心,汉朔公司,计算机服务,本科,3-5年,12-13K,JavaScript|HTML5|计算机/软件工程相关专业|前端开发经验|不接受居家办公,前端
海口·美兰区·国兴,拓维云创,计算机软件,本科,3-5年,10-15K,JavaScript|HTML5|CSS,前端
杭州,巅峰云,电子商务,学历不限,3-5年,11-15K,CSS|不接受居家办公|HTML5|Vue|前端开发经验,前端
临沂·兰山区·颐高上海街,威尔默教育,学校/学历教育,大专,经验不限,4-6K,JavaScript|CSS,前端
北京·西城区·南礼士路,巽震数码,计算机软件,6个月,5天/周,150-200元/天,Vue|Python|不接受居家办公,vue前端开发工程师（实习生）
南昌·青山湖区·高新,上海思芮,计算机软件,大专,3-5年,10-12K,Vue|Node.js|前端开发经验,web前端开发Vue/React-六险一金
金华·婺城区·东关,浙江省公众信息产业,计算机软件,大专,3-5年,10-11K,JavaScript,前端
武汉·洪山区·花山,中电金信,计算机软件,本科,3-5年,10-14K,Vue|计算机/软件工程相关专业|前端开发经验|微前端|qiankun,前端
西安·雁塔区·枫林绿洲,美格智联,计算机软件,本科,3-5年,8-9K,前端开发|后端开发|Vue|PC端,前端
成都·武侯区·新会展中心,中移物联网成都,智能硬件,本科,3-5年,12-20K·16薪,前端开发|HTML|JavaScript|CSS|TypeScript|Web端,前端
长春·朝阳区·高新开发区,启璞科技,计算机软件,本科,5-10年,8-13K·13薪,前端开发|Web端|Vue|JQuery|Vue.js|PC端,高级前端开发工程师Vue
长治·潞州区·城隍庙,三晋地名,文化艺术/娱乐,学历不限,10年以上,120-150元/时,Vue|接受居家办公,高级前端开发工程师(vue)
杭州·余杭区·仓前,浙江影能科技有限公司,企业服务,本科,5-10年,15-25K,小程序|uniapp|vue,前端
深圳·南山区·科技园,宸可智能,互联网,本科,3-5年,13-20K,前端开发|HTML|CSS|JavaScript|Less|Sass|Web端|vue,前端
嘉兴·秀洲区·中关村,智拓,计算机软件,本科,经验不限,7-8K,前端开发|Vue,前端
