位置,公司名,公司行业,学历要求,经验要求,薪资,技能要求,职位
北京·朝阳区·鸟巢,沃东天骏信息技术,电子商务,本科,经验不限,20-40K·14薪,C++|Python|数据结构|分布式技术|后端开发|推荐算法|Linux|软件工程师,C++
上海·闵行区·七宝,上海创易达软件,计算机软件,本科,3-5年,15-30K,C++|计算机相关专业|C++服务端开发经验|Linux开发/部署经验,C++
南京·建邺区·奥体,宇天仿真,计算机软件,本科,1-3年,10-15K·13薪,QT|三维仿真,c++
北京·丰台区·科技园区,中船航海,铁路/船舶/航空/航天制造,硕士,3-5年,20-30K,Qt项目开发经验|C++|QT|Linux|计算机软件|计算机相关专业|Linux开发/部署经验,C++
深圳·宝安区·沙井,立有,电子商务,本科,3-5年,20-25K·13薪,C++服务端开发经验|C++,c++
上海·黄浦区·打浦桥,上海乾仪科技,计算机软件,大专,3-5年,18-35K·13薪,C++|C++服务端开发经验|oracle,c++
上海·浦东新区·康桥,源升信息科技,计算机软件,本科,1-3年,7-12K,C/C++|Linux|项目实施,C++
深圳·南山区·科技园,道通科技,智能硬件,本科,经验不限,18-35K·15薪,C++,c++
济南·历下区·齐鲁软件园,山大电力,电子/半导体/集成电路,本科,1-3年,15-16K,Python|SQL|Shell,C++
长沙·开福区·四方坪,一树数智,互联网,本科,3-5年,11-15K,C++|C|MySQL,c++
北京·朝阳区·望京,高德地图,互联网,本科,3-5年,30-60K·13薪,后端开发|架构师|地图导航,C++
杭州·滨江区·长河,揽岳,计算机软件,大专,1-3年,14-15K,GDB linux 数据库,c++
承德·双滦区·元宝山大街,印诺,计算机软件,硕士,5-10年,10-11K,分布式视频编解码系统,C++
珠海·香洲区·唐家湾,声原,移动互联网,本科,1-3年,10-15K,C++|ATL|STL,C++
杭州·余杭区·未来科技城,因特链ChainX,互联网,本科,1-3年,20-40K,后端开发|区块链,C++
南京·建邺区·建邺万达,南京苏泓睿智能科...,电子/半导体/集成电路,本科,5-10年,15-25K,C++|Go|嵌入式技术|多进程|Linux|Unix|Cmake|Socket技术,C++
成都·郫都区·高新西,成都天体微波科技,通信/网络设备,本科,1-3年,6-9K,QT|C++,C++
深圳·龙华区·龙华,致安信息,信息安全,大专,1-3年,10-15K,C++|C语言|C++服务端开发经验|计算机相关专业,C++
苏州·虎丘区·高新区,高视,计算机软件,本科,经验不限,15-26K·13薪,C++|团队管理经验|QT|Socket技术|多线程|多进程|架构设计经验|Windows|上位机开发经验,C++
杭州·滨江区·长河,中控信息,计算机软件,本科,3-5年,11-18K·14薪,网络协议|VC++|Linux|Windows|客户端开发,C++
北京·海淀区·西二旗,百度在线,互联网,本科,1年以内,26-50K,C++|Python|Java|SQL|PHP|虚拟机技术|后端开发|数据库开发,C++
上海·浦东新区·金桥,上海华为技术有限公司,通信/网络设备,硕士,3-5年,20-30K·14薪,C++|Android,C++
苏州·相城区·元和,momenta,大数据,本科,5-10年,30-55K·14薪,嵌入式技术|高级软件工程师|软件工程师,C++
西安·鄠邑区·人民路,西安威尔格德,智能硬件,本科,经验不限,5-10K,C语言|C++|软件工程师,C++
滁州,力神电池,汽车零部件,本科,3-5年,10-15K·15薪,C++|C语言|C++服务端开发经验,c++
北京·通州区·马驹桥,讯一科技,通信/网络设备,本科,3-5年,15-20K,C++|C++服务端开发经验,C++
北京·朝阳区·酒仙桥,360集团,互联网,本科,3-5年,25-35K·15薪,C++|C++服务端开发经验,C++
西安·长安区·航天城,荣耀终端有限公司,消费电子,本科,1-3年,20-40K·16薪,嵌入式技术|游戏引擎|Linux|图形图像处理|OpenGL,C++
上海·青浦区·徐泾,脉沃医疗,医疗健康,本科,经验不限,16-20K·14薪,C++|QT|STL|OpenGL|图形开发经验|桌面开发经验|C/C++|QT|OpenGL,C++
青岛·黄岛区·香江路,电科思仪,通信/网络设备,硕士,经验不限,10-15K,C++|C语言|计算机相关专业|Qt项目开发经验|Linux开发/部署经验,C++
西安·雁塔区·高新软件园,华为,计算机软件,本科,3-5年,10-20K,Linux|C/C++,C++
北京·昌平区·回龙观,中智科仪,仪器仪表/工业自动化,大专,1-3年,8-10K,C++|Python|QT|视觉图像算法|软件工程师|图形图像处理|计算机软件|客户端开发,C++
杭州·滨江区·长河,浙江天猫技术有限公司,电子商务,本科,经验不限,25-50K,架构师|推荐算法|C++,C++
北京·昌平区·回龙观,中维数通,计算机服务,本科,在校/应届,5-10K·13薪,数据结构|软件工程师|MFC|后端开发|c++开发,C++
深圳·龙华区·龙华,硕龙,大数据,本科,5-10年,10-15K,后端开发|Linux,C++
防城港,焙林,仪器仪表/工业自动化,本科,1-3年,11-20K,运维工程师|运维开发|Socket技术|MySQL|VC++|计算机软件|大数据,C++
沈阳·沈河区·市府,苏宇科技,智能硬件,本科,3-5年,6-12K,后端开发|C/C++|系统集成,C++
苏州,京创先进,智能硬件,本科,1年以内,6-8K,C/C++|系统集成,C++
上海·嘉定区·安亭,木方软件,计算机软件,本科,1-3年,10-15K,C/C++|CATIA CAA,C++
